,1_product_smiles
230,CSc1ccccc1[C@H](F)C(=O)N1C[C@H]2C[C@@H](C1)C(=O)N2
231,CSc1ccccc1[C@@H](F)C(=O)N1C[C@H]2C[C@@H](C1)C(=O)N2
232,NC(=O)[C@@H]1CCCN(C(=O)[C@@H]2CSc3cccc(F)c32)C1
233,NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CSc3cccc(F)c32)C1
234,NC(=O)[C@@H]1CCCN(C(=O)[C@H]2CSc3cccc(F)c32)C1
235,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CSc3cccc(F)c32)C1
236,NC(=O)[C@]12C[C@@H]1CN(C(=O)[C@@H]1CSc3cccc(F)c31)C2
237,NC(=O)[C@@]12C[C@@H]1CN(C(=O)[C@@H]1CSc3cccc(F)c31)C2
238,NC(=O)[C@]12C[C@H]1CN(C(=O)[C@@H]1CSc3cccc(F)c31)C2
239,NC(=O)[C@@]12C[C@H]1CN(C(=O)[C@@H]1CSc3cccc(F)c31)C2
240,NC(=O)[C@]12C[C@@H]1CN(C(=O)[C@H]1CSc3cccc(F)c31)C2
241,NC(=O)[C@@]12C[C@@H]1CN(C(=O)[C@H]1CSc3cccc(F)c31)C2
242,NC(=O)[C@]12C[C@H]1CN(C(=O)[C@H]1CSc3cccc(F)c31)C2
243,NC(=O)[C@@]12C[C@H]1CN(C(=O)[C@H]1CSc3cccc(F)c31)C2
244,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3cccc(F)c32)[C@@H]2C[C@@H]21
245,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3cccc(F)c32)[C@@H]2C[C@H]12
246,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3cccc(F)c32)[C@@H]2C[C@@H]21
247,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3cccc(F)c32)[C@@H]2C[C@H]12
248,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3cccc(F)c32)[C@H]2C[C@H]12
249,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3cccc(F)c32)[C@H]2C[C@H]12
250,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3cccc(F)c32)[C@H]2C[C@H]12
251,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3cccc(F)c32)[C@H]2C[C@H]12
252,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3cccc(F)c32)[C@@H]2C[C@H]21
253,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3cccc(F)c32)[C@@H]2C[C@@H]12
254,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3cccc(F)c32)[C@@H]2C[C@H]21
255,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3cccc(F)c32)[C@@H]2C[C@@H]12
256,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3cccc(F)c32)[C@H]2C[C@@H]12
257,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3cccc(F)c32)[C@H]2C[C@@H]12
258,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3cccc(F)c32)[C@H]2C[C@@H]12
259,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3cccc(F)c32)[C@H]2C[C@@H]12
260,O=C1N[C@@H]2C[C@@H]1CN(C(=O)[C@@H]1CSc3cccc(F)c31)C2
261,O=C1N[C@H]2C[C@@H]1CN(C(=O)[C@@H]1CSc3cccc(F)c31)C2
262,O=C1N[C@@H]2C[C@H]1CN(C(=O)[C@@H]1CSc3cccc(F)c31)C2
263,O=C1N[C@H]2C[C@H]1CN(C(=O)[C@@H]1CSc3cccc(F)c31)C2
